a015a2e5f399a47b3cc497f3077a80d2e0c9e639,17,18
208157bb498813cad7b5349fb99de73382386166,14,18
8e0383609c0a4559290504a7906e02fccc69c7b9,16,31
dd5b41ec37d50cc9359632000cba5339a94dc3f7,18,31
154dc095af7ad8d8401e9114ce34fcd4edaa0df7,13,15
daa9ee2553365aaf3336063708b3050e12fc92b9,11,24
fc9eb394711566456e727bf6363c3119de81594e,13,17
0a8ffda78890ff28796314dbce346a0efa104d68,17,11
af51c0626e8e1de1dc116920ce3be55b62e03adb,7,23
164e6e3d756375fec89794a697aa7838fe037869,10,18
7dbbbde1b52bda08e6f5df65083857a6313eaccd,7,21
2fb36203df93d57d4a48e1b4ec0face56bbbba37,14,8
3dde594c0c351b0e4436609e863447f0b74321b3,10,31
584c36b471131012a05c38670f607718869f12fa,11,16
5415bbc072e052151b26ee3dfffb7c931eebccd5,18,16
438a0e88efca13dc98f82170b90a9b1c5105f929,20,8
838b15d6e3353610dce48c74e2b3f668d169deb9,6,28
e4874ae4d5fce460ec6f3658f1ba01cddd0339f5,21,5
954aa071931568b8423b3871a9ff0cbff6d66862,16,24
b1b68b08c2699972a0a3c28d450a261b8296d250,8,14
0d152b4bb87264e8ea7f433cfd2062ee2cba7e02,19,16
f08096fba18b9785d75ef897c046b21f5f452acb,20,8
c989f7270f23ffc35ac1c5387b94f0203e93143c,13,2
f7ac329847062be96550404c4154b51907eb787f,12,24
9f9b3c7b5fd1b9124f18c6bb6489ce002ab2926f,20,16
f6ca2ef06799e12d53865c08e31b5f3f35970560,11,7
6606611adcf214d5ef708768de59fd8819526af6,15,12
02ae9e0784ae76e3a0d1f044c13c1aac0fc26251,7,26
96866232ef509791927d285d9c6d0baa3a33648d,15,7
5b9ddb4bded40f76f5b3d2251b9f5d8eb7f75811,19,29
772ece857786bbcc3e4167a42eed2a9cd128afe1,5,22
d923bd37a7f0901ffacdb8644aaba251fd97591e,20,17
f2c93f0fc6ffc6141a1f23bd6bfee0c026db3f2d,21,22
b580de05548e78d229d9952bab70812a6493057a,6,1
861b0211ceae54b02e1847d3043c2a4448da9cac,8,19
879ee2d2b343b76bd12966b68d8da55e7cf75792,21,11
6b9de15c24757d86ffa7264a326ad010e3ad1efc,6,1
b9331f3ea463d51b597fb3c36cbaa5d92a3522b6,19,5
e46f5742ed4cf93e0cb970156a90b03ce2965d34,20,12
40112f13c47fc5fa14a76deac067bdd3fc71ad5a,9,27
148a8c17224376c900b32bf8d37e65e71608beb7,20,12
734eacd657e79700d161ea552aba37dd165dda1b,21,29
b7d10f60c9500a730fe75a4c103cfb9622e239cd,12,2
bed101f282ca044631bbffb955e2c57310b96857,20,1
